Run,Max_Training_In_Run_Normal,Max_Validation_In_Run_Normal,Max_Training_In_Run_Fine,Max_Validation_In_Run_Fine
0,0.8721264600753784,0.7045454382896423,1.0,0.75
1,0.891523003578186,0.689393937587738,1.0,0.7537878751754761
2,0.8433908224105835,0.689393937587738,1.0,0.7462121248245239
3,0.8477011322975159,0.6742424368858337,1.0,0.7462121248245239
4,0.8642241358757019,0.6704545617103577,1.0,0.7651515007019043
5,0.8807471394538879,0.6931818127632141,1.0,0.7386363744735718
6,0.8864942789077759,0.6780303120613098,1.0,0.7424242496490479
7,0.8642241358757019,0.6780303120613098,1.0,0.7386363744735718
8,0.8699712753295898,0.7045454382896423,1.0,0.7386363744735718
9,0.8893678188323975,0.6931818127632141,1.0,0.7310606241226196
