Run,Max_Training_In_Run_Normal,Max_Validation_In_Run_Normal,Max_Training_In_Run_Fine,Max_Validation_In_Run_Fine
0,0.4724026024341583,0.37012988328933716,0.9926947951316833,0.600649356842041
1,0.4545454680919647,0.3571428656578064,0.9959415793418884,0.5681818127632141
2,0.4975649416446686,0.37012988328933716,0.9991883039474487,0.5876623392105103
3,0.38879871368408203,0.31168830394744873,0.9780844449996948,0.5454545617103577
4,0.4009740352630615,0.37012988328933716,0.989448070526123,0.5909090638160706
5,0.44561687111854553,0.3603896200656891,0.9967532753944397,0.5681818127632141
6,0.3806818127632141,0.31168830394744873,0.9813311696052551,0.5129870176315308
7,0.45698052644729614,0.33441558480262756,0.9951298832893372,0.5974025726318359
8,0.4813311696052551,0.37662336230278015,0.9983766078948975,0.5811688303947449
9,0.31087663769721985,0.2857142984867096,0.9691558480262756,0.5422077775001526
